ShipmentID,Country,Port,Product,Quantity(kg),Value(USD),TransportMode,ETA,ClearanceTime(days),Status
S1100,Thailand,Cat Lai,Pharmaceuticals,,53924.0,Sea,2025-10-07,6,In Transit
S1101,Japan,Haiphong,Automotive Parts,353.0,14726.0,Sea,2025-08-09,5,Delivered
S1102,Japan,Haiphong,Electronics,2162.0,196896.0,Air,2025-03-14,5,Hold
S1103,USA,Ho Chi Minh,Automotive Parts,3710.0,45542.0,Sea,2025-08-22,1,Delayed
S1104,Japan,Danang,Furniture,3566.0,39753.0,Road,2025-09-17,4,Delayed
S1105,Japan,Danang,Furniture,418.0,288460.0,Road,2025-04-23,3,Hold
S1106,India,Cat Lai,Automotive Parts,868.0,238979.0,Sea,2025-02-15,4,In Transit
S1107,USA,Cat Lai,Pharmaceuticals,1718.0,89698.0,Road,2025-10-01,1,Delivered
S1108,India,Cat Lai,Toys,2477.0,283104.0,Air,2025-02-12,3,Delayed
S1109,Thailand,Ho Chi Minh,Electronics,2267.0,35791.0,Sea,2025-07-27,3,In Transit
S1110,Vietnam,Danang,Automotive Parts,2800.0,292360.0,Sea,2025-12-15,2,Delivered
S1111,Thailand,Haiphong,Automotive Parts,1149.0,78290.0,Air,2025-04-13,4,Delivered
S1112,Vietnam,Ho Chi Minh,Automotive Parts,2395.0,52014.0,Road,2025-05-04,4,Delayed
S1113,India,Haiphong,Toys,3379.0,140150.0,Air,2025-01-10,2,Hold
S1114,Thailand,Haiphong,Toys,,55519.0,Air,2025-11-25,5,Delayed
S1115,USA,Ho Chi Minh,Textiles,795.0,271186.0,Road,2025-07-06,1,Delayed
S1116,China,Haiphong,Furniture,3754.0,54052.0,Air,2025-01-31,4,Delayed
S1117,India,Danang,Spices,2614.0,19389.0,Road,2025-06-05,2,In Transit
S1118,Vietnam,Haiphong,Pharmaceuticals,1637.0,73111.0,Road,2025-03-01,7,Hold
S1119,Germany,Danang,Machinery,3580.0,162753.0,Air,2025-09-06,3,In Transit
S1120,Vietnam,Danang,Toys,3049.0,94524.0,Road,2025-09-27,6,Delayed
S1121,Germany,Danang,Spices,3165.0,291848.0,Air,2025-08-05,7,Hold
S1122,Japan,Cat Lai,Toys,,99913.0,Road,2025-01-02,2,Delivered
S1123,Thailand,Haiphong,Pharmaceuticals,1942.0,99108.0,Sea,2025-01-24,6,Hold
S1124,Germany,Ho Chi Minh,Machinery,1506.0,259803.0,Road,2025-07-25,5,Delayed
S1125,Vietnam,Ho Chi Minh,Textiles,272.0,274637.0,Road,2025-11-16,1,Hold
S1126,Japan,Haiphong,Automotive Parts,680.0,1119585.0,Air,2025-07-18,6,Delivered
S1127,China,Cat Lai,Textiles,3623.0,236452.0,Road,2025-12-22,5,Delivered
S1128,USA,Cat Lai,Toys,,139066.0,Sea,2025-04-24,6,Hold
S1129,USA,Danang,Textiles,3597.0,205352.0,Sea,2025-10-07,3,Delivered
S1130,USA,Haiphong,Spices,944.0,133674.0,Road,2025-06-04,3,In Transit
S1131,Germany,Haiphong,Electronics,1666.0,,Road,2025-06-14,3,Hold
S1132,China,Ho Chi Minh,Toys,299.0,241907.0,Sea,2025-08-10,3,Delivered
S1133,Germany,Haiphong,Toys,1282.0,274515.0,Air,2025-04-01,2,Delivered
S1134,Thailand,Cat Lai,Spices,2755.0,52315.0,Sea,2025-06-16,3,Hold
S1135,Germany,Haiphong,Furniture,2505.0,219636.0,Sea,2025-07-26,7,In Transit
S1136,China,Ho Chi Minh,Machinery,612.0,1983765.0,Road,2025-10-09,3,Hold
S1137,China,Danang,Automotive Parts,3723.0,237520.0,Road,2025-03-06,7,Delivered
S1138,Thailand,Ho Chi Minh,Spices,1288.0,84526.0,Sea,2025-01-04,2,Hold
S1139,China,Ho Chi Minh,Machinery,2842.0,248459.0,Air,2025-06-06,3,Delivered
S1140,Vietnam,Danang,Pharmaceuticals,1377.0,152698.0,Sea,2025-09-06,5,Delayed
S1141,China,Ho Chi Minh,Machinery,2208.0,242330.0,Sea,2025-09-14,5,Hold
S1142,USA,Ho Chi Minh,Pharmaceuticals,2513.0,110573.0,Air,2025-08-23,4,Hold
S1143,Vietnam,Haiphong,Spices,1020.0,142900.0,Sea,2025-11-02,5,Delivered
S1144,Vietnam,Haiphong,Toys,3350.0,240707.0,Sea,2025-03-15,1,Delivered
S1145,Thailand,Danang,Toys,3586.0,188736.0,Road,2025-07-06,1,Delivered
S1146,South Korea,Haiphong,Furniture,861.0,153955.0,Air,2025-03-03,1,Delivered
S1147,South Korea,Haiphong,Spices,31940.0,179131.0,Road,2025-12-03,2,Hold
S1148,China,Ho Chi Minh,Pharmaceuticals,759.0,179004.0,Road,2025-06-13,5,Delivered
S1149,Vietnam,Cat Lai,Machinery,3164.0,269179.0,Air,2025-02-25,7,Hold
S1150,South Korea,Haiphong,Machinery,3138.0,114767.0,Air,2025-04-21,1,In Transit
S1151,South Korea,Cat Lai,Pharmaceuticals,1471.0,22241.0,Sea,2025-08-06,4,Hold
S1152,China,Haiphong,Textiles,2013.0,57975.0,Road,2025-08-28,2,Delivered
S1153,South Korea,Haiphong,Furniture,3115.0,159226.0,Air,2025-01-21,4,Delivered
S1154,Germany,Danang,Electronics,809.0,61396.0,Road,2025-05-21,5,In Transit
S1155,Japan,Danang,Toys,2661.0,123920.0,Road,2025-09-22,3,Hold
S1156,Thailand,Danang,Automotive Parts,224.0,199999.0,Air,2025-05-19,4,In Transit
S1157,Japan,Cat Lai,Machinery,2228.0,91226.0,Sea,2025-03-11,3,Hold
S1158,China,Ho Chi Minh,Automotive Parts,483.0,89719.0,Road,2025-04-28,2,Delivered
S1159,USA,Haiphong,Electronics,1672.0,,Air,2025-07-17,4,Hold
S1160,Thailand,Haiphong,Spices,3128.0,44346.0,Sea,2025-07-24,4,Delivered
S1161,China,Haiphong,Automotive Parts,500.0,75411.0,Road,2025-08-02,6,Delivered
S1162,Vietnam,Cat Lai,Electronics,1291.0,190550.0,Air,2025-02-25,2,Delayed
S1163,USA,Danang,Toys,1230.0,148326.0,Road,2025-10-14,2,Delayed
S1164,Japan,Ho Chi Minh,Pharmaceuticals,1016.0,191806.0,Air,2025-10-20,1,Hold
S1165,China,Cat Lai,Textiles,3408.0,51121.0,Air,2025-06-24,5,Delivered
S1166,Vietnam,Danang,Toys,3435.0,217490.0,Road,2025-12-13,4,In Transit
S1167,Thailand,Cat Lai,Machinery,282.0,89577.0,Road,2025-05-08,4,Delivered
S1168,Thailand,Ho Chi Minh,Electronics,21200.0,254106.0,Air,2025-11-21,7,In Transit
S1169,India,Danang,Automotive Parts,3921.0,140909.0,Sea,2025-10-19,2,Hold
S1170,Vietnam,Cat Lai,Machinery,3691.0,6466.0,Road,2025-10-15,2,Hold
S1171,Germany,Ho Chi Minh,Textiles,3344.0,297915.0,Air,2025-08-14,5,In Transit
S1172,South Korea,Haiphong,Pharmaceuticals,3508.0,234638.0,Air,2025-03-05,2,In Transit
S1173,USA,Ho Chi Minh,Spices,2293.0,93422.0,Sea,2025-02-17,3,Delivered
S1174,Vietnam,Haiphong,Machinery,817.0,4035555.0,Sea,2025-07-21,3,Hold
S1175,India,Cat Lai,Spices,3175.0,297717.0,Sea,2025-12-03,6,Delivered
S1176,South Korea,Danang,Electronics,2509.0,101907.0,Road,2025-03-01,3,In Transit
S1177,South Korea,Danang,Textiles,375.0,213434.0,Air,2025-09-14,3,Delayed
S1178,China,Cat Lai,Automotive Parts,1389.0,223532.0,Air,2025-03-06,5,Delayed
S1179,South Korea,Danang,Textiles,2904.0,263093.0,Air,2025-08-27,4,Delayed
S1180,Germany,Danang,Textiles,1041.0,157271.0,Sea,2025-10-16,3,In Transit
S1181,Thailand,Haiphong,Furniture,569.0,210400.0,Air,2025-02-07,6,Delivered
S1182,India,Cat Lai,Textiles,2018.0,172477.0,Road,2025-01-25,2,Hold
S1183,South Korea,Ho Chi Minh,Textiles,2301.0,234304.0,Sea,2025-02-28,3,In Transit
S1184,China,Haiphong,Toys,889.0,20989.0,Sea,2025-12-23,6,Delayed
S1185,Germany,Cat Lai,Machinery,3690.0,296075.0,Sea,2025-10-24,5,Delivered
S1186,Japan,Haiphong,Automotive Parts,1979.0,,Sea,2025-06-07,7,Hold
S1187,Thailand,Ho Chi Minh,Toys,3778.0,,Road,2025-02-26,7,Hold
S1188,Thailand,Ho Chi Minh,Toys,1564.0,212370.0,Air,2025-02-17,7,In Transit
S1189,India,Cat Lai,Machinery,,131299.0,Road,2025-11-24,2,In Transit
S1190,Thailand,Ho Chi Minh,Machinery,1632.0,166205.0,Air,2025-02-25,6,Hold
S1191,South Korea,Haiphong,Electronics,566.0,248688.0,Road,2025-03-06,3,Hold
S1192,China,Ho Chi Minh,Machinery,3542.0,110686.0,Sea,2025-09-25,4,Delayed
S1193,Thailand,Haiphong,Furniture,843.0,87666.0,Sea,2025-03-10,2,Hold
S1194,Thailand,Haiphong,Furniture,3876.0,193728.0,Road,2025-08-04,2,In Transit
S1195,Japan,Ho Chi Minh,Toys,2626.0,,Road,2025-03-30,7,Delivered
S1196,Japan,Cat Lai,Spices,272.0,112573.0,Air,2025-10-08,4,Delayed
S1197,USA,Danang,Electronics,3162.0,,Road,2025-09-14,7,Delayed
S1198,Germany,Ho Chi Minh,Spices,1471.0,274152.0,Road,2025-06-09,2,Hold
S1199,South Korea,Haiphong,Spices,1059.0,163477.0,Air,2025-08-22,3,Delivered
S1200,Thailand,Haiphong,Toys,242.0,253141.0,Air,2025-05-11,7,Delayed
S1201,Vietnam,Ho Chi Minh,Pharmaceuticals,2624.0,95909.0,Air,2025-02-18,7,In Transit
S1202,Thailand,Cat Lai,Toys,1264.0,156899.0,Road,2025-05-27,7,Hold
S1203,China,Cat Lai,Automotive Parts,2417.0,65354.0,Air,2025-11-12,2,In Transit
S1204,USA,Haiphong,Automotive Parts,2459.0,23157.0,Sea,2025-01-02,3,Hold
S1205,Germany,Haiphong,Machinery,,40315.0,Sea,2025-11-25,4,Delayed
S1206,Vietnam,Cat Lai,Machinery,3951.0,150486.0,Sea,2025-05-25,1,Hold
S1207,USA,Danang,Pharmaceuticals,2286.0,263669.0,Road,2025-03-02,4,Delivered
S1208,India,Ho Chi Minh,Machinery,568.0,137018.0,Sea,2025-09-30,3,In Transit
S1209,Germany,Haiphong,Automotive Parts,3004.0,281837.0,Road,2025-02-18,5,Delivered
S1210,Thailand,Haiphong,Spices,350.0,,Road,2025-11-28,7,In Transit
S1211,Thailand,Cat Lai,Toys,1334.0,100790.0,Sea,2025-05-11,4,In Transit
S1212,Germany,Ho Chi Minh,Textiles,1703.0,77255.0,Air,2025-02-12,5,Hold
S1213,Thailand,Cat Lai,Furniture,1659.0,200829.0,Road,2025-02-26,5,Delayed
S1214,South Korea,Ho Chi Minh,Textiles,1270.0,177275.0,Sea,2025-02-19,3,Delayed
S1215,Germany,Ho Chi Minh,Textiles,1223.0,197933.0,Road,2025-06-27,3,Delivered
S1216,USA,Ho Chi Minh,Automotive Parts,17980.0,266439.0,Air,2025-10-20,7,Hold
S1217,Germany,Haiphong,Textiles,2984.0,16350.0,Air,2025-02-15,1,Delayed
S1218,Vietnam,Danang,Toys,2240.0,191584.0,Sea,2025-06-19,6,In Transit
S1219,Thailand,Cat Lai,Pharmaceuticals,1589.0,106894.0,Road,2025-09-28,2,In Transit
S1220,South Korea,Danang,Electronics,268.0,36728.0,Road,2025-12-02,4,Hold
S1221,South Korea,Cat Lai,Machinery,2546.0,284720.0,Road,2025-05-19,3,Delivered
S1222,India,Ho Chi Minh,Electronics,1143.0,88384.0,Road,2025-09-04,4,Hold
S1223,USA,Haiphong,Spices,1001.0,5390.0,Sea,2025-05-28,6,Delivered
S1224,Japan,Danang,Toys,2543.0,16569.0,Air,2025-08-18,6,Hold
S1225,Japan,Haiphong,Toys,2450.0,27490.0,Sea,2025-10-07,7,In Transit
S1226,Germany,Cat Lai,Furniture,260.0,273011.0,Road,2025-05-05,5,Hold
S1227,India,Haiphong,Toys,1145.0,85820.0,Road,2025-07-11,7,Delayed
S1228,China,Haiphong,Machinery,3210.0,276265.0,Air,2025-03-21,2,Delayed
S1229,Germany,Danang,Toys,1537.0,6539.0,Road,2025-04-04,1,Hold
S1230,India,Ho Chi Minh,Textiles,1384.0,68965.0,Sea,2025-08-14,4,Delivered
S1231,USA,Haiphong,Furniture,530.0,102799.0,Sea,2025-03-06,2,Delivered
S1232,USA,Ho Chi Minh,Machinery,1751.0,98948.0,Air,2025-03-29,1,In Transit
S1233,USA,Cat Lai,Pharmaceuticals,537.0,148314.0,Sea,2025-03-29,4,In Transit
S1234,USA,Haiphong,Pharmaceuticals,1829.0,253099.0,Sea,2025-07-20,2,Delivered
S1235,USA,Danang,Pharmaceuticals,1527.0,276091.0,Sea,2025-08-02,3,Hold
S1236,India,Cat Lai,Pharmaceuticals,1726.0,248322.0,Sea,2025-07-23,4,In Transit
S1237,India,Cat Lai,Textiles,1873.0,207538.0,Road,2025-03-30,2,Delivered
S1238,South Korea,Danang,Toys,1561.0,239778.0,Sea,2025-03-02,6,Delivered
S1239,Vietnam,Haiphong,Electronics,1773.0,260821.0,Air,2025-09-28,1,Hold
S1240,Japan,Haiphong,Machinery,2886.0,197888.0,Air,2025-04-04,2,Delayed
S1241,Thailand,Cat Lai,Textiles,474.0,4014765.0,Sea,2025-11-03,3,Delivered
S1242,USA,Haiphong,Pharmaceuticals,1387.0,163223.0,Air,2025-01-27,7,In Transit
S1243,China,Ho Chi Minh,Spices,3714.0,16618.0,Sea,2025-08-02,4,Hold
S1244,Thailand,Danang,Toys,2566.0,283266.0,Air,2025-03-15,4,Hold
S1245,India,Ho Chi Minh,Electronics,2836.0,143426.0,Air,2025-03-02,4,Hold
S1246,China,Haiphong,Spices,2751.0,91436.0,Sea,2025-07-05,3,Delayed
S1247,China,Cat Lai,Furniture,3957.0,215448.0,Sea,2025-01-31,1,Delayed
S1248,China,Danang,Spices,2634.0,141109.0,Road,2025-08-07,4,In Transit
S1249,South Korea,Haiphong,Furniture,2193.0,33633.0,Sea,2025-01-12,1,In Transit
S1250,India,Haiphong,Furniture,1069.0,291639.0,Sea,2025-10-29,2,Hold
S1251,China,Cat Lai,Pharmaceuticals,3080.0,,Road,2025-02-01,6,In Transit
S1252,USA,Cat Lai,Furniture,1214.0,143442.0,Sea,2025-06-09,6,Delivered
S1253,Germany,Ho Chi Minh,Automotive Parts,2111.0,124873.0,Sea,2025-08-25,1,Delayed
S1254,China,Danang,Machinery,802.0,76947.0,Road,2025-08-15,1,Hold
S1255,South Korea,Danang,Machinery,1999.0,175205.0,Sea,2025-06-30,6,Hold
S1256,Thailand,Cat Lai,Pharmaceuticals,890.0,232107.0,Sea,2025-11-13,4,Delivered
S1257,India,Ho Chi Minh,Automotive Parts,693.0,100761.0,Road,2025-02-15,5,Delivered
S1258,Vietnam,Danang,Spices,689.0,33926.0,Road,2025-12-07,5,Delivered
S1259,South Korea,Cat Lai,Textiles,2968.0,109700.0,Air,2025-03-21,3,Delivered
S1260,China,Haiphong,Spices,3344.0,54593.0,Sea,2025-05-15,7,Hold
S1261,India,Danang,Toys,2756.0,10209.0,Air,2025-09-17,6,Delayed
S1262,Germany,Ho Chi Minh,Textiles,589.0,131700.0,Air,2025-11-04,6,Delayed
S1263,China,Ho Chi Minh,Furniture,3890.0,91597.0,Road,2025-09-04,3,Delivered
S1264,South Korea,Ho Chi Minh,Electronics,,274355.0,Sea,2025-06-08,5,In Transit
S1265,Japan,Haiphong,Textiles,1592.0,14927.0,Sea,2025-07-22,2,Hold
S1266,USA,Danang,Electronics,3043.0,213535.0,Road,2025-04-22,4,Delayed
S1267,Vietnam,Danang,Machinery,3112.0,122333.0,Air,2025-10-19,4,Delivered
S1268,Thailand,Haiphong,Electronics,1917.0,160666.0,Road,2025-11-06,2,In Transit
S1269,South Korea,Danang,Machinery,2796.0,210924.0,Sea,2025-04-29,2,In Transit
S1270,India,Haiphong,Automotive Parts,848.0,213785.0,Road,2025-01-17,5,Delivered
S1271,Vietnam,Haiphong,Automotive Parts,2073.0,144005.0,Sea,2025-11-27,3,Hold
S1272,Vietnam,Haiphong,Pharmaceuticals,767.0,108780.0,Air,2025-08-15,2,Delayed
S1273,Vietnam,Ho Chi Minh,Pharmaceuticals,3458.0,45696.0,Sea,2025-12-27,3,In Transit
S1274,China,Danang,Furniture,3100.0,201521.0,Air,2025-04-27,7,Delayed
S1275,USA,Haiphong,Textiles,3017.0,162195.0,Air,2025-02-12,1,Delayed
S1276,China,Danang,Furniture,644.0,55013.0,Sea,2025-04-25,4,In Transit
S1277,India,Ho Chi Minh,Machinery,3841.0,221486.0,Sea,2025-10-10,5,Delivered
S1278,China,Haiphong,Furniture,562.0,244350.0,Air,2025-02-06,4,In Transit
S1279,Japan,Cat Lai,Electronics,2370.0,31140.0,Road,2025-10-29,5,In Transit
S1280,USA,Ho Chi Minh,Machinery,1411.0,268328.0,Sea,2025-04-23,1,Hold
S1281,USA,Cat Lai,Pharmaceuticals,941.0,160918.0,Air,2025-02-04,4,Delayed
S1282,India,Danang,Automotive Parts,2241.0,116361.0,Air,2025-05-12,1,Delivered
S1283,Thailand,Danang,Pharmaceuticals,879.0,158267.0,Road,2025-12-02,5,Delayed
S1284,Japan,Ho Chi Minh,Textiles,2667.0,272750.0,Sea,2025-12-02,2,In Transit
S1285,South Korea,Danang,Machinery,3897.0,21555.0,Air,2025-08-16,7,Delivered
S1286,China,Cat Lai,Machinery,3523.0,95385.0,Road,2025-05-27,4,Delivered
S1287,Germany,Haiphong,Electronics,1842.0,260658.0,Air,2025-05-02,1,Delivered
S1288,China,Haiphong,Textiles,1772.0,162419.0,Sea,2025-03-22,6,Delivered
S1289,Vietnam,Haiphong,Automotive Parts,1558.0,234797.0,Road,2025-06-22,4,Hold
S1290,China,Ho Chi Minh,Spices,2339.0,,Air,2025-06-03,4,Delivered
S1291,South Korea,Danang,Machinery,3801.0,96321.0,Road,2025-05-30,4,In Transit
S1292,China,Cat Lai,Machinery,262.0,199923.0,Sea,2025-02-27,3,Hold
S1293,Japan,Danang,Electronics,3933.0,103234.0,Road,2025-03-04,1,In Transit
S1294,Japan,Danang,Furniture,2759.0,232705.0,Sea,2025-06-05,1,In Transit
S1295,USA,Danang,Toys,1362.0,,Air,2025-12-22,4,Delayed
S1296,India,Haiphong,Automotive Parts,3969.0,294987.0,Sea,2025-11-18,2,Delivered
